dailyVolumeToken0,dailyVolumeToken1,dailyVolumeUSD,date,reserve0,reserve1,reserveUSD
2190349.144843242614201115,12547.424674455840055188,7688416.851122534992150164653130428,2020-12-22 00:00:00,7763277.723676858404288975,45642.084443255556697395,57919351.7998088350696110507514674
1811785.242360212399848175,10424.019507101245356814,6304004.826057931833919796944703827,2020-12-23 00:00:00,7902029.180341358970259011,44849.246554574920729613,52265063.58813104301603273406568803
1557743.471690670077394761,8812.37547284323330927,5146890.730764434624978132773098353,2020-12-24 00:00:00,7955618.087366651568817109,45575.302786035522272233,55794760.33394026814551482467397218
1122266.983333920372104671,6341.505602412183123328,3905063.898294317626430741283638646,2020-12-25 00:00:00,8025423.649829644491612436,44820.928302740177264298,56008036.63858258764194876164069592
1320561.725878217436276772,7224.257675784717723115,4583882.154828542423983456920202522,2020-12-26 00:00:00,8073951.99076609405542873,43209.514911362593149798,54816311.56154387817425544943311702
2234466.364606804851008465,12010.018302791641655864,7962837.459325771897176410839403534,2020-12-27 00:00:00,8168497.464319106972597022,43190.065952901230083784,59043935.94748822628218244812489093
2418818.79130677242435132,12593.086021858852472959,9154731.186809999842707577088770847,2020-12-28 00:00:00,8277134.489565056461641773,42322.511162864395192065,61783144.46986249800629837416099666
1947540.830662495523408851,9770.210188780313865074,7030550.586709788605461478108308686,2020-12-29 00:00:00,8283975.090430545421123698,41518.609467556015442422,60844442.5511869710466116043954947
3834744.542895862246474784,20876.157023327938244501,15387057.33426017902459236494694781,2020-12-30 00:00:00,8172226.606057370681480518,45130.832052384861069111,67770374.31038650514966389291829851
6728427.378524929268335693,42307.66408276892823821,31308427.73668172950346279199323441,2020-12-31 00:00:00,7679069.575761777383431041,53669.812220247784068706,79015179.8038653093857431271949264
4704102.459687936867423388,31548.988282292106693432,23217552.77355571239883735872962155,2021-01-01 00:00:00,8029379.719810730058468055,52206.503670803205643632,76162437.66238770529228814230335068
4847888.825362572197033125,30579.114850727463927794,23035741.44952891889724955451662275,2021-01-02 00:00:00,8223389.555900770284136379,51420.210213624309148854,79732574.50289462140543924065537634
3922224.777125671416910079,23081.673568417067599294,20029685.8488121708619011971280795,2021-01-03 00:00:00,8598956.179547830229292086,48251.654102873805731416,94169599.18635053843185745440128172
4808428.452362616074627301,26111.286011750035146631,26637549.42354243551369740731338882,2021-01-04 00:00:00,9142107.657093702330671602,47391.866235981418805,98567834.58370339412387116609175973
3683564.815158310714970691,20809.231955513341317574,22076515.0526677566777950828465242,2021-01-05 00:00:00,8633273.471526475588487075,49420.284566792178084286,108901861.9406262324052498261328697
2418716.015206333558718995,13371.898981825406782856,15206399.49016711209370388932852853,2021-01-06 00:00:00,8945563.208913390702752684,47481.462788301151323074,114837120.7697534460876449366015286
2304950.558438767872956022,11974.590540324481376327,14667131.63502848242997171782519387,2021-01-07 00:00:00,9099575.985503081394842647,46730.706820465899787918,114179652.3244544997382790947690453
2383040.815681239600386316,11901.400915737778433976,14298712.65906979014221887834338661,2021-01-08 00:00:00,9409624.789584240916551312,45524.541246420642609993,110973932.9804332548337038198177649
2194276.347453012822879078,10886.317071344617763004,13358393.99661744403375703697476786,2021-01-09 00:00:00,9334488.77023082687765792,45719.660874432037804001,117340889.0394615223085556926705838
2402248.608397641851390945,11417.484832671849533755,14843250.21456744538064920662148038,2021-01-10 00:00:00,9561036.961995387138483437,45347.009875198224073651,114386520.5729846167763209665091339
3566666.320728703927738263,17427.55871574044517753,18986758.81533949519651986814067753,2021-01-11 00:00:00,9476863.687419071578875635,45570.814714707884827832,99099059.78399239286936440851504082
2750980.61262025874746021,13942.645438218992462911,15201383.17623456803674078675171794,2021-01-12 00:00:00,8978152.339169169530495523,47878.504392706060057647,99676561.09581834116300068121318769
2539249.015465154482127414,13968.924462605016804666,14900801.15922789272340237158601943,2021-01-13 00:00:00,8564680.447469487757268771,48147.453967047563813128,108619217.4181910677525414925198452
3294086.606069631387221823,18540.502228228231087316,21590276.98684181233277775387762163,2021-01-14 00:00:00,8575198.096323160238070268,48073.289539055767888207,117739936.0774454763292194972922971
4279745.508829570820528201,25383.117692185721497111,30225464.98762175490538709126644666,2021-01-15 00:00:00,8041405.695384250472001454,50427.087926200440542319,117994291.8596717870757441145223842
4337068.713323438919938792,29084.540930418664420594,35956663.69078728556911816831479745,2021-01-16 00:00:00,7696732.725088771720254317,52505.944941645433547341,129399279.9737396858921308178255991
3813440.973111114058044245,26879.779985852585424618,33063648.2325860542401908309358192,2021-01-17 00:00:00,7654086.914480169302972477,53846.104120186290779117,132459043.2481380600729199310080615
3679450.498558677751568816,27364.688980424100391412,33518605.77828284287345557589874322,2021-01-18 00:00:00,7378101.295855392378225002,53842.085148832226751203,135248858.3830060855287336848165559
3007770.951716258987578772,20078.889673886452490486,27378038.01545588037114084860893264,2021-01-19 00:00:00,7952622.494052721435723657,50169.345254130290654389,138096543.0089940776192097683384562
2138803.060770597487951062,13466.31932770787470976,17815814.9114993264630565305667882,2021-01-20 00:00:00,7995622.682083598793939231,52262.106772618493825493,144188542.8210766156229889528307056
3290492.519345425079128185,21343.473354236380337757,26692108.25753178646831804319456181,2021-01-21 00:00:00,7747045.464460303733643563,52546.251100087816320151,117346290.2447254324833269405169099
2505464.712298740214002248,17458.961473812527026968,20598051.82858830969069865909125156,2021-01-22 00:00:00,7664088.01764929764210987,54222.222220773923376023,133914117.3853925362812483445331082
2066354.371424026295205574,15299.994601535131463385,19068637.91649717630394063064549674,2021-01-23 00:00:00,7310954.200509125595231363,55181.317147637355066558,135537971.0815739337570905878639472
4130964.296626974227607332,33552.938077326725911367,44280592.93422399624266756185986358,2021-01-24 00:00:00,6857925.029302388174364624,59103.286595264453159851,164857451.4342072763156545453856131
4898853.099067832503233262,41258.108221691237750663,57961991.93427822797958401327186589,2021-01-25 00:00:00,6936772.628690216428255081,59819.866506562257753986,158143835.1542311744925129568619283
5116490.215812597413994373,49328.261841081292568103,65363464.7526754620913072040194107,2021-01-26 00:00:00,6526410.929738616337577287,66324.913397857899775571,180667699.4162831028804482612799435
4236693.467769380611336118,47432.490209118526022572,60316591.08250261342318373763421253,2021-01-27 00:00:00,6055162.699747908033587666,71765.444709137669327088,179011898.6217120312709258860144726
3175647.998320088808972348,35033.436795863024360017,45969162.68169918664736367380444272,2021-01-28 00:00:00,6468498.762355432364798162,68761.247788921294443252,183336466.9665329957969686723645486
3691541.826256684784560277,40241.815462460512059908,54817424.87776398008995896157681804,2021-01-29 00:00:00,6279353.738383244469370217,71223.616202139619340159,197082089.4282725218153942585766618
4624817.765638958421896747,57855.581802716613800224,78905147.23779429286586343219351826,2021-01-30 00:00:00,5685739.711771192697702307,80424.898236923000150179,221520929.079529851098919670304766
4384473.70919360202707575,61600.359822638264023376,82802401.17739907654162925782255394,2021-01-31 00:00:00,5991737.299572498085228068,80322.364101994027423471,210972977.8950078576127390853065695
4551582.046322664781357283,65128.007690879829584776,86490935.19018387945071967102369624,2021-02-01 00:00:00,5790098.902575180457209013,86282.61960271876160002,236546135.0129577269032362143693424
4133599.88236090805756995,54992.07585886547758375,78502290.72273595442896049729467164,2021-02-02 00:00:00,6671219.705577330825222406,84008.377370815979770956,254346827.3947274407001623380660201
1487504.096432133439813886,18474.048725281442117289,29213768.68693013258004215964526349,2021-02-03 00:00:00,6616042.492918390021957709,78778.794016569837228764,262148390.1096331777258855647485744
2511704.615281772692698286,31563.099886470668204165,52053279.15158500122017878998750857,2021-02-04 00:00:00,6476118.199050798249071726,81204.258453818442651736,259309004.284678506726375890191877
1777256.626015172448473395,21973.30635856558360401,36950509.62984981225430609133389737,2021-02-05 00:00:00,6568052.663404685035617687,81097.794385027671786375,278742646.0062791964728594556889469
1573341.328201195684652481,18596.509628400696645932,31375522.65122575748083927100120211,2021-02-06 00:00:00,6888994.853301674199966543,79060.532204742740439516,265378762.1690037280861536649869918
1067372.002588969151252871,12222.499532928702280291,19620534.96005933795403481412203784,2021-02-07 00:00:00,7105626.249213342752977611,81819.004937935417100572,265017594.7459596746586558092918146
1281689.144968364137133735,14708.507043743465320009,24596794.15006366042394682499403315,2021-02-08 00:00:00,7071019.784944483675069772,78244.813298243432883643,273435390.8379636535782376554067635
874525.792166417394782709,9620.93668599467733646,16852284.0348234369109294183192903,2021-02-09 00:00:00,6933708.445090331682557268,76690.130715911790508502,271526952.519980123620853306867174
2408124.348557783316569864,28383.371107285362413181,50538310.58829267767095823530781631,2021-02-10 00:00:00,6684828.217173826584010901,79484.546293205430442166,277595557.8702381735624612972333619
946376.329309269409348685,11150.796784229351676845,19765219.3324933872460202399122811,2021-02-11 00:00:00,6602761.311158086826591711,79739.820155536151055119,284144136.8102092819490518883920469
1614737.50419493206317244,20401.958173672332149791,36371642.26519992036041875835093209,2021-02-12 00:00:00,6529878.238694845179415791,80732.216227120272056976,297135849.3080754367366127318115292
896671.147594527801130252,10945.226154250321184847,19889723.20355125241662333597750898,2021-02-13 00:00:00,6556911.286942795652094905,79092.627585283884959176,286437930.6359010942319476395739547
767362.462491544513845711,9146.301982974457309051,16663521.48509335521295190782220997,2021-02-14 00:00:00,6611589.857797258425050138,76796.643003853062608808,277456601.6947014340574857257250971
1939706.635347830172104868,21693.073152369844406914,38248794.87384340821795014820538336,2021-02-15 00:00:00,6678129.774928594832591553,75353.091648444368339043,267781409.5601875784141032636395335
1203446.294239652935197758,13867.84655923459555294,24699523.2369324989138186917973046,2021-02-16 00:00:00,6607149.627224918577156793,75724.258671284623021263,269301585.2519364090301010686241077
1076594.040543505895648484,12219.289809023725953802,22035862.81958046817054952943723013,2021-02-17 00:00:00,6522978.717998174787847635,76113.590716877236598405,280815675.7362572957961637614831598
914571.741257148610117788,10243.627547100589654133,19536756.25739665151934553050570295,2021-02-18 00:00:00,6728303.240443491422902708,73553.472689554736921529,284369458.5775774017563062939980807
1512226.251643343024306653,15820.85011557964055152,30648407.9214788547731355880864003,2021-02-19 00:00:00,6809905.298018412378571152,69407.697092789317290519,271805656.2222366688141779584403203
6315227.804206994175503721,85432.377590992671354353,169999567.7906842659906083033799251,2021-02-20 00:00:00,5081961.491275969409934375,76666.338763705541746148,293661978.1698695197683226336199828
2894992.971904547439013056,44743.958480644699683702,86800498.78703227520221894357193219,2021-02-21 00:00:00,5432916.802750233314224635,81156.142002570635727221,313018647.3380020960837080167403991
2547398.641620911568462065,37893.474002330046813066,67652846.08591856216436907144600457,2021-02-22 00:00:00,5339630.883538725191415185,82744.533696272968422191,294253277.7209842673832277022808174
4157415.673344384733839905,60455.487167912891333811,92776811.26038468627423731669252692,2021-02-23 00:00:00,5358899.421731288219781845,83828.10364118923126344,263169535.2102215942547330222943586
1538053.816137416602652574,24510.63952173823944223,39692685.20273348059493768870208231,2021-02-24 00:00:00,5368983.22119423093167899,83797.168475534763343238,271909129.6932603053201509979450173
1095547.555377413949435446,17316.147521468134293377,27748274.58889547273941582992285978,2021-02-25 00:00:00,5332163.289268208217136366,84724.979992473726948588,250644823.558707169909146259305308
1740724.113890032205374348,27152.329733183600941211,40497464.51029561046306170384294603,2021-02-26 00:00:00,5318255.714102702619636345,84606.232064297928788755,244016537.5635911181401874558379905
1113631.482924430928360735,17969.10131179069393048,26636236.45293062444122482461297472,2021-02-27 00:00:00,4670911.380465634065558815,74943.719992830892389533,219009795.745486426711690280555994
1437066.383654812901232008,22736.171138571367864258,31552773.96745233784405881039084673,2021-02-28 00:00:00,3143304.821342157365656721,49361.172721164605157344,139543191.5164064946706121620405024
