dailyVolumeToken0,dailyVolumeToken1,dailyVolumeUSD,date,reserve0,reserve1,reserveUSD,liquidityDepth,priceOfA,ratio,ratioChange,buy,sell,holdA,holdB,HoldAsB,HoldAsA,dailyROIA,dailyROIB,ROIAsB,TotROIA,TotROIB,TotROIAsB,1
76992.520558255821236529,672.951482200875588489,1252392.118700646210876702779387893,2021-06-27 00:00:00,2321393.792225240486753386,20005.066684583856127314,79075195.19239781404637190232775161,46439637614.644936,0.008617696295899634,5388869138581.882,-1.94%,-1.94%,0,116.04029263317247,1,2.0,116.04891032946837,2.0096700212251624,1.9853329874097625,3.9898641869467926,1.3107804631894875e+85,1.3046723428821437e+85,1.71013901791357e+170,286
152094.019173202614656259,1301.100810952416563472,2688575.76341689274862949539721494,2021-06-28 00:00:00,2338258.026594212912248743,19832.238519334522747137,82429174.51460987050773324719441336,46372890903.16487,0.008481629612203726,5467450598932.262,-1.46%,-1.46%,0,117.90187095191682,1,2.0,117.91035258152903,2.007264702105026,1.9913607803475846,3.997188203548026,2.6310833559691344e+85,2.598073334819697e+85,6.835747508831329e+170,287
133577.237955492060905299,1145.572848445159143798,2488710.304037570977902682721639193,2021-06-29 00:00:00,2310849.850138968677846076,19808.753009922481137031,86085695.99358773896564652878065207,45775053924.41921,0.00857206408660919,5340027029887.294,2.33%,0,2.33%,116.65801724022869,1,2.0,116.6665893043153,1.9882783781158808,1.9988157912991444,3.9742022196766738,5.231326147693999e+85,5.19307000859084e+85,2.7166642922746763e+171,288
171774.737336415079796966,1435.30892078791030537,3155426.224472190242162910618017648,2021-06-30 00:00:00,2327334.968107360852115887,19635.984776666831519984,89295446.4797338874574768793712786,45699514003.960526,0.008437111565695779,5416488053775.291,-1.43%,-1.43%,0,118.5239749662518,1,2.0,118.5324120778175,2.0071337901800073,1.9912781873160261,3.99676173541039,1.0499971478488833e+86,1.0340847033311989e+86,1.0857859891319175e+172,289
98116.264219690903242335,833.589216006031862688,1796654.82804052733460350044185581,2021-07-01 00:00:00,2323354.007507907965573233,19663.174907908669569183,83193816.4644128530144571726799088,45684516222.61855,0.00846327113490549,5397973844203.057,0.34%,0,0.34%,118.15762298759996,1,2.0,118.16608625873486,1.9982894767388426,2.0013847093258166,3.9993460035518065,2.0981982511522223e+86,2.0696013133947846e+86,4.3424338563472795e+172,290
90710.08753971624006106,766.340285360358634826,1594432.392194147304678863134018173,2021-07-02 00:00:00,2324877.215227833280699152,19635.501595298371231542,84366643.72615733377386848386655346,45650130268.47896,0.008445823059681081,5405054065885.525,-0.13%,-0.13%,0,118.40172271354221,1,2.0,118.4101685366019,2.0006556072449584,1.9985926325356966,3.998495556881004,4.197772096279259e+86,4.136289937237018e+86,1.7363202480654242e+173,291
199434.032510502783644237,1710.316877040542223009,3757881.891552675865633719031723889,2021-07-03 00:00:00,2327515.802653115941052275,20304.798325207730378964,90369540.39421774235937475713845809,47259738971.605515,0.008723806859683816,5417329811599.977,-0.23%,-0.23%,0,114.62885596669938,1,2.0,114.63757977355905,2.0011349362486754,2.034086052075676,4.070480662144778,8.400308396274264e+86,8.413569668674792e+86,7.067657993040733e+173,292
433611.477373664408978845,3868.208349931641195823,8985056.844033441215308064996020437,2021-07-04 00:00:00,2297262.308582173351427508,20578.308377098885533352,95805219.20683815843902614920909498,47273772209.09006,0.008957753017677561,5277414114432.296,2.58%,0,2.58%,111.63513863650437,1,2.0,111.64409638952205,1.9870018093812911,2.01347021760623,4.000768965518921,1.6691427982757813e+87,1.694047195163181e+87,2.8276066757459104e+174,293
165323.255191946432944877,1476.178954831638043289,3317585.230055898236766343798139561,2021-07-05 00:00:00,2284364.02393165291142563,20833.825948829487291034,92527553.78275132384529783944340912,47592042478.35981,0.009120186507302843,5218318993833.213,1.12%,0,1.12%,109.64688048860252,1,2.0,109.65600067510982,1.9943853670508873,2.01241684044423,4.013534698988753,3.3289139723995892e+87,3.4091291040536985e+87,1.134869750819845e+175,294
443380.340414094402556759,4251.256931927678340051,9693537.899674385596011422887099343,2021-07-06 00:00:00,2220828.574264142188113808,21400.993525726108377948,99360848.75801033477988698774677781,47527937939.574455,0.00963649053048464,4932079556268.103,5.49%,0,5.49%,103.77221840633177,1,2.0,103.78185489686226,1.9721868104199265,2.027223399978941,3.9980632512131065,6.565240229389073e+87,6.911066293286899e+87,4.537281045666197e+175,295
